"tree1","tree2","pearson_r","decade","Site.x","Species.x","Region","hilo","Neighborhood.x","DBH","con_freq","con_freqBA","Site.y","Neighborhood.y","Species.y","dist"
"18pl1_2","18ac1_2",0.614376615888049,1960,"pp","PL","SENF","high",1,116.6,0.125,0.377469348418262,"pp",1,"AC",1.26220228190701
"18pl1_3","18ac1_2",0.517869486166856,1960,"pp","PL","SENF","high",1,111.8,0.0731707317073171,0.34725476137367,"pp",1,"AC",7.88247623926277
"18ac1_6","18ac1_4",-0.0952898074316385,1960,"pp","AC","SENF","high",1,52,0.711111111111111,0.513041625055203,"pp",1,"AC",26.9422209967692
"18pj1_1","18ac1_4",0.350012388488378,1960,"pp","PJ","SENF","high",1,90.9,0.0526315789473684,0.0903529916571096,"pp",1,"AC",10.1330614345377
"18pl1_1","18ac1_4",0.419334812539501,1960,"pp","PL","SENF","high",1,104.6,0.130434782608696,0.371192518893144,"pp",1,"AC",14.3355506971804
"18pl1_2","18ac1_4",0.0575488180033405,1960,"pp","PL","SENF","high",1,116.6,0.125,0.377469348418262,"pp",1,"AC",11.3432897176889
"18pl1_3","18ac1_4",0.54169651407032,1960,"pp","PL","SENF","high",1,111.8,0.0731707317073171,0.34725476137367,"pp",1,"AC",18.1945979575323
"18pj1_1","18ac1_6",0.365837884742566,1960,"pp","PJ","SENF","high",1,90.9,0.0526315789473684,0.0903529916571096,"pp",1,"AC",16.8854733536159
"18pl1_1","18ac1_6",0.0186568286452619,1960,"pp","PL","SENF","high",1,104.6,0.130434782608696,0.371192518893144,"pp",1,"AC",18.2261495057014
"18pl1_2","18ac1_6",0.283686614677662,1960,"pp","PL","SENF","high",1,116.6,0.125,0.377469348418262,"pp",1,"AC",16.8869564821808
"18pl1_3","18ac1_6",0.433174576191057,1960,"pp","PL","SENF","high",1,111.8,0.0731707317073171,0.34725476137367,"pp",1,"AC",11.7630061093173
"18ac2_2","18ac2_1",0.323062059756884,1960,"pp","AC","SENF","high",2,24.4,0.428571428571429,0.292206419097137,"pp",2,"AC",3.50944326186638
"18ac2_3","18ac2_1",0.408831048333653,1960,"pp","AC","SENF","high",2,48.5,0.421052631578947,0.286292610620767,"pp",2,"AC",5.55926752612569
"18ac2_4","18ac2_1",0.210351963650727,1960,"pp","AC","SENF","high",2,26.9,0.46,0.276028137608515,"pp",2,"AC",9.60110311942745
"18pj2_1","18ac2_1",0.507639749183312,1960,"pp","PJ","SENF","high",2,118,0.192307692307692,0.509011649706043,"pp",2,"AC",26.8837045189686
"18pj2_3","18ac2_1",0.0530084581882049,1960,"pp","PJ","SENF","high",2,139.8,0.235294117647059,0.506127390468364,"pp",2,"AC",30.7543989774145
"18pj2_4","18ac2_1",0.425320654565169,1960,"pp","PJ","SENF","high",2,91.6,0.173913043478261,0.278070802160221,"pp",2,"AC",34.4328375674157
"18pj2_5","18ac2_1",0.0647699731252859,1960,"pp","PJ","SENF","high",2,123.6,0.105263157894737,0.199367331987624,"pp",2,"AC",31.6143857141599
"18ac2_3","18ac2_2",0.0978329699176228,1960,"pp","AC","SENF","high",2,48.5,0.421052631578947,0.286292610620767,"pp",2,"AC",2.48826016871461
"18ac2_4","18ac2_2",-0.222793874462741,1960,"pp","AC","SENF","high",2,26.9,0.46,0.276028137608515,"pp",2,"AC",9.69587398213396
"18pj2_1","18ac2_2",-0.020797126551463,1960,"pp","PJ","SENF","high",2,118,0.192307692307692,0.509011649706043,"pp",2,"AC",26.455353010294
"18pj2_3","18ac2_2",0.34010795117297,1960,"pp","PJ","SENF","high",2,139.8,0.235294117647059,0.506127390468364,"pp",2,"AC",28.891215364878
"18pj2_4","18ac2_2",0.390616140704243,1960,"pp","PJ","SENF","high",2,91.6,0.173913043478261,0.278070802160221,"pp",2,"AC",31.1162109530817
"18pj2_5","18ac2_2",0.286071394244331,1960,"pp","PJ","SENF","high",2,123.6,0.105263157894737,0.199367331987624,"pp",2,"AC",28.1234770138729
"18ac2_4","18ac2_3",0.638516520571294,1960,"pp","AC","SENF","high",2,26.9,0.46,0.276028137608515,"pp",2,"AC",11.8559533331202
"18pj2_1","18ac2_3",0.485453984294412,1960,"pp","PJ","SENF","high",2,118,0.192307692307692,0.509011649706043,"pp",2,"AC",28.1665742720866
"18pj2_3","18ac2_3",0.170255709737647,1960,"pp","PJ","SENF","high",2,139.8,0.235294117647059,0.506127390468364,"pp",2,"AC",29.6578697170536
"18pj2_4","18ac2_3",0.449451193543635,1960,"pp","PJ","SENF","high",2,91.6,0.173913043478261,0.278070802160221,"pp",2,"AC",30.1444486174408
"18pj2_5","18ac2_3",0.462107191156929,1960,"pp","PJ","SENF","high",2,123.6,0.105263157894737,0.199367331987624,"pp",2,"AC",26.628680041498
